	Tagalog	Tagalog sentence	English sentence	English
y	Malaki	Malaki ang bahay.	The house is big.	big
n	Preno	May preno ang bisikleta.	The bicycle has a brake.	brake
y	Dumi	May dumi sa sahig.	There is dirt on the floor.	dirt / filth
y	Tayo	Mag-aral tayo.	Let us study.	"we, including you"
n	Unan	Malambot ang unan.	The pillow is soft.	pillow
n	Silid-aralan	Tahimik ang silid-aralan.	The classroom is quiet.	classroom
n	Buhangin	Mainit ang buhangin.	The sand is hot.	sand
y	Sipon	May sipon ang bata.	The child has a runny nose.	runny nose / cold
y	Iyan	Iyan ang lapis.	That is the pencil.	that
y	Sakit	May sakit siya.	He or she is sick.	pain / illness
y	Tsinelas	Nasa sahig ang tsinelas.	The slippers are on the floor.	slippers
y	Kutsara	Nasa plato ang kutsara.	The spoon is on the plate.	spoon
n	Relos	May relos siya.	He or she has a wristwatch.	wristwatch
y	Mabilis	Mabilis ang kotse.	The car is fast.	fast
y	Hindi	Hindi ako galit.	I am not angry.	no / not
y	Pait	Ayoko ng pait ng gamot.	I do not like the bitterness of the medicine.	bitterness
n	Kalamnan	Malakas ang kalamnan niya.	His or her muscles are strong.	muscle
y	Aso	Mabilis ang aso.	The dog is fast.	dog
y	Ngayon	Mag-aral tayo ngayon.	Let us study now.	now
n	Mahirap	Mahirap ang tanong.	The question is difficult.	difficult
y	Tago	Nakatago ang sikreto.	The secret is hidden.	hidden / hide
y	Siguro	Siguro bukas ang ulan.	Maybe it will rain tomorrow.	maybe / probably
n	Masama	Masama ang amoy.	The smell is bad.	bad
y	Tangkad	Ang tangkad ng guro!	The teacher is tall!	height / tallness
n	Amoy	Maganda ang amoy ng bulaklak.	The flower smells nice.	smell
y	Galit	Galit ang guro.	The teacher is angry.	angry
y	Baba	Nasa baba ang sapatos.	The shoes are down below.	down / lower part
y	Ngipin	Puti ang ngipin niya.	His or her teeth are white.	tooth / teeth
y	Isa	May isa akong libro.	I have one book.	one
y	Doktor	Mabuti ang doktor.	The doctor is kind.	doctor
n	Luha	May luha sa mata niya.	There is a tear in his or her eye.	tear
y	Iyo	Iyo ang lapis.	The pencil is yours.	yours
y	Lila	Lila ang bulaklak.	The flower is purple.	purple
c	Subok	Subukan mo ito.	Try this.	try / test
n	Kuwenta	Marunong siyang magkuwenta.	He or she knows how to count.	count / calculation
n	Kaibigan	Siya ang kaibigan ko.	He or she is my friend.	friend
y	Araw	Maliwanag ang araw.	The sun is bright.	day / sun
y	Ilong	Maliit ang ilong niya.	His or her nose is small.	nose
y	Puno	Malaki ang puno.	The tree is big.	tree
y	Papel	Puti ang papel.	The paper is white.	paper
n	Hapunan	May kanin sa hapunan.	There is rice at dinner.	dinner
n	Pisara	May salita sa pisara.	There is a word on the board.	blackboard / board
y	Dugo	Pula ang dugo.	Blood is red.	blood
y	Kasama	Kasama ko ang kapatid ko.	My sibling is with me.	companion / together with
n	Tisa	Puti ang tisa.	The chalk is white.	chalk
y	Maganda	Maganda ang bulaklak.	The flower is beautiful.	beautiful / nice
y	Harap	Nasa harap ng bahay ang puno.	The tree is in front of the house.	front
y	Libro	Bago ang libro.	The book is new.	book
y	Tabi	Nasa tabi ko ang kaibigan ko.	My friend is beside me.	beside / side
n	Tuwid	Tuwid ang daan.	The road is straight.	straight
n	Bentilador	Mabilis ang bentilador.	The fan is fast.	fan
n	Pisngi	Pula ang pisngi niya.	His or her cheek is red.	cheek
n	Salita	Ano ang salita?	What is the word?	word / speech
y	Dagat	Asul ang dagat.	The sea is blue.	sea
y	Bagal	Ang bagal ng paglakad.	The walking is slow.	slowness
y	Krayola	Pula ang krayola.	The crayon is red.	crayon
n	Barko	Malaki ang barko.	The ship is big.	ship
n	Hagdan	Mahaba ang hagdan.	The stairs are long.	stairs / ladder
y	Hanap	Maghanap tayo ng libro.	Let us look for a book.	look for / search
n	Simula	Ito ang simula.	This is the beginning.	beginning / start
n	Aral	Mag-aral tayo ngayon.	Let us study now.	study / learn
n	Asukal	Matamis ang asukal.	Sugar is sweet.	sugar
y	Bahay	Malaki ang bahay.	The house is big.	house / home
y	Mainit	Mainit ang sabaw.	The soup is hot.	hot
y	Kailangan	Kailangan ko ng tubig.	I need water.	need / necessary
n	Kalan	Mainit ang kalan.	The stove is hot.	stove
n	Tanghalian	May kanin sa tanghalian.	There is rice at lunch.	lunch
n	Usok	Itim ang usok.	The smoke is black.	smoke
y	Ibon	Maliit ang ibon.	The bird is small.	bird
n	Ilog	Malinis ang ilog.	The river is clean.	river
n	Kaliwa	Nasa kaliwa ang bintana.	The window is on the left.	left side
y	Doon	Doon ang paaralan.	The school is over there.	o / over there
y	Lakad	Maglakad tayo.	Let us walk.	walk
n	Wasto	Wasto ang sagot.	The answer is correct.	correct / proper
y	Init	Malakas ang init ng araw.	The heat of the sun is strong.	heat
y	Pagkain	Marami ang pagkain.	There is plenty of food.	food
y	Karne	Luto na ang karne.	The meat is cooked.	meat
n	Binhi	Maliit ang binhi.	The seed is small.	seed
n	Lalamunan	Masakit ang lalamunan ko.	My throat hurts.	throat
y	Lamig	Ramdam ko ang lamig.	I feel the cold.	cold / coldness
y	Asin	May asin sa sabaw.	There is salt in the soup.	salt
y	Taba	Maraming taba ang karne.	The meat has a lot of fat.	fat / fatness
n	Tanim	Magtanim tayo ng puno.	Let us plant a tree.	plant
n	Kulay	Ano ang kulay nito?	What color is this?	color
y	Tiyaga	Kailangan ang tiyaga.	Perseverance is needed.	patience / perseverance
y	Payong	Bukas ang payong.	The umbrella is open.	umbrella
y	Lamesa	May pagkain sa lamesa.	There is food on the table.	table
n	Tiyak	Tiyak ang sagot.	The answer is certain.	sure / certain
y	Linis	Mahalaga ang linis.	Cleanliness is important.	cleanliness
y	Tawag	Ano ang tawag dito?	What is this called?	call / name
y	Aircon	Malamig dahil sa aircon.	It is cold because of the air conditioner.	air conditioner
y	Manok	May manok sa bakuran.	There is a chicken in the yard.	chicken
n	Balakang	Masakit ang balakang niya.	His or her hip hurts.	hip / waist
y	Bulaklak	Maganda ang bulaklak.	The flower is beautiful.	flower
n	Kape	Mainit ang kape.	The coffee is hot.	coffee
y	Asul	Asul ang damit.	The clothes are blue.	blue
y	Tawa	Narinig ko ang tawa niya.	I heard his or her laughter.	laughter
n	Daliri sa paa	Masakit ang daliri sa paa ko.	My toe hurts.	toe
n	Tanda	May tanda sa papel.	There is a mark on the paper.	mark / sign
n	Talon	Maganda ang talon.	The waterfall is beautiful.	waterfall / jump
y	Bakit	Bakit ka masaya?	Why are you happy?	why
n	Maling	Maling sagot iyan.	That is a wrong answer.	wrong
n	Luma	Luma ang libro.	The book is old.	"old, for things"
n	Sumbrero	Nasa ulo ang sumbrero.	The hat is on the head.	hat
y	Pamilya	Ito ang pamilya ko.	This is my family.	family
y	Lima	May limang libro.	There are five books.	five
y	Estudyante	Masaya ang estudyante.	The student is happy.	student
y	Meryenda	Tinapay ang meryenda ko.	Bread is my snack.	snack
y	Kuko	Mahaba ang kuko niya.	His or her fingernail is long.	fingernail / nail
y	Likod	Nasa likod ng bahay ang hardin.	The garden is behind the house.	back / behind
y	Dilim	Tahimik sa dilim.	It is quiet in the darkness.	darkness
y	Mesa	May libro sa mesa.	There is a book on the table.	table
n	Buong	Binasa ko ang buong libro.	I read the whole book.	whole / entire
n	Keso	May keso sa tinapay.	There is cheese on the bread.	cheese
y	Upo	Umupo ka sa silya.	Sit on the chair.	sit / sitting
	Silid	Maliwanag ang silid.	The room is bright.	room
	Takbo	Takbo tayo.	Let us run.	run
	Problema	May problema ako.	I have a problem.	problem
	Tapon	Itapon mo ang papel.	Throw away the paper.	throw away
	Kumot	Mainit ang kumot.	The blanket is warm.	blanket
	Klinika	Malapit ang klinika.	The clinic is near.	clinic
	Madilim	Madilim ang gabi.	The night is dark.	dark
	Ruler	Mahaba ang ruler.	The ruler is long.	ruler
	Lawa	Malaki ang lawa.	The lake is big.	lake
	Bukas	May laro bukas.	There is a game tomorrow.	tomorrow
	Sumbat	Masama ang sumbat.	Reproach is bad.	blame / reproach
	Tatlo	May tatlong lapis.	There are three pencils.	three
	Kuwintas	Nasa leeg ang kuwintas.	The necklace is around the neck.	necklace
	Matalas	Matalas ang kutsilyo.	The knife is sharp.	sharp
	Anak	Masaya ang anak.	The child is happy.	child / son / daughter
	Gubat	Maraming puno sa gubat.	There are many trees in the forest.	forest
	Mantikilya	May mantikilya sa tinapay.	There is butter on the bread.	butter
	Isda	Sariwa ang isda.	The fish is fresh.	fish
	Ulap	Puti ang ulap.	The cloud is white.	cloud
	Basa	Magbasa tayo ng libro.	Let us read a book.	read
	Manibela	Nasa harap ang manibela.	The steering wheel is in front.	steering wheel
	Ibabaw	Nasa ibabaw ng mesa ang libro.	The book is on top of the table.	top / above
	Hipon	May hipon sa sabaw.	There is shrimp in the soup.	shrimp
	Inumin	Malamig ang inumin.	The drink is cold.	drink / beverage
	Pitsel	May tubig sa pitsel.	There is water in the pitcher.	pitcher
	Dyip	Maraming estudyante sa dyip.	There are many students in the jeepney.	jeepney
	Almusal	May itlog sa almusal.	There are eggs for breakfast.	breakfast
	Sibuyas	May sibuyas sa ulam.	There is onion in the dish.	onion
	Parang	Parang masaya siya.	He or she seems happy.	seems / like
	Medyas	Puti ang medyas.	The socks are white.	socks
	Tulong	Kailangan ko ng tulong.	I need help.	help
	Singsing	Nasa daliri ang singsing.	The ring is on the finger.	ring
	Bato	Matigas ang bato.	The rock is hard.	rock / stone
	Dila	Nasa bibig ang dila.	The tongue is in the mouth.	tongue
	Payat	Payat ang pusa.	The cat is thin.	thin
	Tinapay	Kumain ako ng tinapay.	I ate bread.	bread
	Dulo	Nasa dulo ang bahay.	The house is at the end.	end / edge
	Lambot	Gusto ko ang lambot ng unan.	I like the softness of the pillow.	softness
	Higaan	Malambot ang higaan.	The bed is soft.	bed
	Malamig	Malamig ang tubig.	The water is cold.	cold
	Ano	Ano ito?	What is this?	what
	Inis	May inis sa boses niya.	There is annoyance in his or her voice.	annoyance
	Saan	Saan ang libro?	Where is the book?	where
	Bangka	Maliit ang bangka.	The boat is small.	boat
	Tunay	Tunay ang kuwento.	The story is true.	true / real
	Ulan	Malakas ang ulan.	The rain is heavy.	rain
	At	May aso at pusa.	There is a dog and a cat.	and
	Ingay	Malakas ang ingay sa kalye.	The noise in the street is loud.	noise / loudness
	Sayaw	Sayaw tayo.	Let us dance.	dance
	Banyo	Malinis ang banyo.	The bathroom is clean.	bathroom
	Baso	May tubig sa baso.	There is water in the glass.	glass / drinking glass
	Trak	Malaki ang trak.	The truck is big.	truck
	Kulog	Malakas ang kulog.	The thunder is loud.	thunder
	Dingding	Puti ang dingding.	The wall is white.	wall
	Anim	May anim na itlog.	There are six eggs.	six
	Hikaw	Nasa tenga ang hikaw.	The earring is on the ear.	earring
	Kidlat	Maliwanag ang kidlat.	The lightning is bright.	lightning
	Higa	Humiga ka sa higaan.	Lie down on the bed.	lie down
	Buhay	Buhay ang halaman.	The plant is alive.	alive / life
	Gulay	May gulay sa ulam.	There are vegetables in the dish.	vegetable
	Bituin	May bituin sa langit.	There is a star in the sky.	star
	Bilog	Bilog ang plato.	The plate is round.	round / circle
	Daliri	May singsing sa daliri.	There is a ring on the finger.	finger
	Uniporme	Malinis ang uniporme.	The uniform is clean.	uniform
	Ngiti	Maganda ang ngiti niya.	His or her smile is beautiful.	smile
	Inom	Uminom ka ng gatas.	Drink milk.	drink
	Puti	Puti ang papel.	The paper is white.	white
	Dibdib	Masakit ang dibdib niya.	His or her chest hurts.	chest
	Ikaw	Ikaw ang kasama ko.	You are my companion.	you
	Gitna	Nasa gitna ang mesa.	The table is in the middle.	middle / center
	Sabi	"Sabi niya, “Oo.”"	"He or she said, “Yes.”"	said / what was said
	Sapatos	Itim ang sapatos.	The shoes are black.	shoes
	Desisyon	Mabuti ang desisyon.	The decision is good.	decision
	Kayumanggi	Kayumanggi ang mesa.	The table is brown.	brown
	Ilaw	Maliwanag ang ilaw.	The light is bright.	light / lamp
	Awa	Naawa siya sa hayop.	He or she felt pity for the animal.	pity / compassion
	Kwarto	Nasa kwarto ang higaan.	The bed is in the bedroom.	room / bedroom
	Huli	Siya ang huling estudyante.	He or she is the last student.	last
	Kalsada	Maraming kotse sa kalsada.	There are many cars on the road.	road / street
	Oo	"Oo, gusto ko."	"Yes, I like it."	yes
	Suka	May suka sa mesa.	There is vinegar on the table.	vinegar
	Paano	Paano ito gawin?	How is this done?	how
	Malapit	Malapit ang paaralan.	The school is near.	near
	Balat	Malinis ang balat niya.	His or her skin is clean.	skin
	Pangungusap	Maikli ang pangungusap.	The sentence is short.	sentence
	Pulseras	Nasa braso ang pulseras.	The bracelet is on the arm.	bracelet
	Bolpen	Asul ang bolpen.	The ballpoint pen is blue.	ballpoint pen
	Tubig	Uminom ka ng tubig.	Drink water.	water
	Kawali	Nasa kalan ang kawali.	The frying pan is on the stove.	frying pan
	Patatas	May patatas sa sabaw.	There is potato in the soup.	potato
	Parisukat	Parisukat ang papel.	The paper is square.	square
	Labas	Nasa labas ang aso.	The dog is outside.	outside
	Sugat	May sugat sa kamay.	There is a wound on the hand.	wound / cut
	Bigay	Bigay mo ito sa guro.	Give this to the teacher.	give
	Tenga	May dalawang tenga.	There are two ears.	ear
	Tunog	Malakas ang tunog.	The sound is loud.	sound
	Kanin	Mainit ang kanin.	The cooked rice is hot.	cooked rice
	Dahil	Masaya siya dahil may libro.	He or she is happy because there is a book.	because
	Pula	Pula ang sapatos.	The shoes are red.	red
	Baluktot	Baluktot ang sanga.	The branch is bent.	bent / crooked
	Gulong	Bilog ang gulong.	The wheel is round.	wheel / tire
	Hayop	Mabuti ang hayop.	The animal is good.	animal
	Lupa	May halaman sa lupa.	There is a plant in the soil.	land / soil / ground
	Telebisyon	Nasa sala ang telebisyon.	The television is in the living room.	television
	Madali	Madali ang laro.	The game is easy.	easy
	Plato	May kanin sa plato.	There is rice on the plate.	plate
	Buwan	Maliwanag ang buwan.	The moon is bright.	moon / month
	Sikmura	Nasa loob ang sikmura.	The stomach is inside the body.	stomach organ
	Tiyan	Masakit ang tiyan ko.	My stomach hurts.	belly / stomach
	Lagnat	May lagnat ang bata.	The child has a fever.	fever
	Kusina	May pagkain sa kusina.	There is food in the kitchen.	kitchen
	Ginhawa	May ginhawa na siya.	He or she feels relief now.	relief / comfort
	Binti	Masakit ang binti ko.	My lower leg hurts.	lower leg / calf
	Orasan	Nasa dingding ang orasan.	The clock is on the wall.	clock
	Pero	Maliit pero mabilis.	It is small but fast.	but
	Unang	Ito ang unang libro.	This is the first book.	first
	Bago	Bago ang libro.	The book is new.	new
	Kanan	Nasa kanan ang pinto.	The door is on the right.	right side
	Mangga	Matamis ang mangga.	The mango is sweet.	mango
	Sakit ng ulo	May sakit ng ulo ako.	I have a headache.	headache
	Bibig	Bukas ang bibig niya.	His or her mouth is open.	mouth
	Tigas	Ramdam ko ang tigas ng bato.	I can feel the hardness of the rock.	hardness
	Bilis	Ang bilis ng kotse!	The car is fast!	speed / fastness
	Bakuran	May aso sa bakuran.	There is a dog in the yard.	yard / fenced area
	Siko	Masakit ang siko ko.	My elbow hurts.	elbow
	Gulo	May gulo sa silid.	There is a mess in the room.	mess / confusion
	Halaman	Berde ang halaman.	The plant is green.	plant
	Silya	May silya sa tabi ng mesa.	There is a chair beside the table.	chair
	Itlog	May itlog sa plato.	There is an egg on the plate.	egg
	Wala	Wala akong lapis.	I do not have a pencil.	there is none / do not have
	Malayo	Malayo ang bundok.	The mountain is far.	far
	Ospital	Malaki ang ospital.	The hospital is big.	hospital
	Lakas	May lakas ang bata.	The child has strength.	strength
	Bahagi	Ito ang bahagi ng libro.	This is part of the book.	part
	Bag	May libro sa bag.	There is a book in the bag.	bag
	Patay	Patay ang halaman.	The plant is dead.	dead
	Katas	May katas ng mangga sa baso.	There is mango juice in the glass.	juice
	Eroplano	Nasa langit ang eroplano.	The airplane is in the sky.	airplane
	Kapatid	May isa akong kapatid.	I have one sibling.	sibling
	Pinya	Matamis ang pinya.	The pineapple is sweet.	pineapple
	Pandak	Pandak ang bata.	The child is short.	short in height
	Salamin	Nasa dingding ang salamin.	The mirror is on the wall.	mirror / glass
	Saging	Dilaw ang saging.	The banana is yellow.	banana
	Lahat	Masaya ang lahat.	Everyone is happy.	all / everyone
	May	May libro sa mesa.	There is a book on the table.	there is / have
	Pusa	Maliit ang pusa.	The cat is small.	cat
	Tahimik	Tahimik ang silid-aralan.	The classroom is quiet.	quiet
	Bukong-bukong	Masakit ang bukong-bukong ko.	My ankle hurts.	ankle
	Tulog	Matulog ka na.	Go to sleep now.	sleep
	Apat	May apat na silya.	There are four chairs.	four
	Buhok	Itim ang buhok niya.	His or her hair is black.	hair
	Atay	Mahalaga ang atay.	The liver is important.	liver
	Langit	Asul ang langit.	The sky is blue.	sky / heaven
	Nais	Nais ko ng tubig.	I want water.	wish / want
	Huwag	Huwag kang tumakbo.	Do not run.	do not / must not
	Baga	May dalawang baga.	There are two lungs.	lungs
	Halik	Binigyan niya ako ng halik.	He or she gave me a kiss.	kiss
	Mata	May luha sa mata.	There is a tear in the eye.	eye
	Dala	May dala akong libro.	I am carrying a book.	carrying / brought
	Gusto	Gusto ko ang libro.	I like the book.	like / want
	Santol	Maasim ang santol.	The santol fruit is sour.	santol fruit
	Mapurol	Mapurol ang lapis.	The pencil is blunt.	dull / blunt
	Bangko	Umupo siya sa bangko.	He or she sat on the bench.	bench / bank
	Alimango	Malaki ang alimango.	The crab is big.	crab
	Matanda	Matanda ang guro.	The teacher is old.	old / elderly person
	Sampu	May sampung daliri.	There are ten fingers.	ten
	Kailan	Kailan ang laro?	When is the game?	when
	Sumulat	Sumulat siya sa papel.	He or she wrote on the paper.	wrote / write
	Kotse	Mabilis ang kotse.	The car is fast.	car
	Gawa	Gawa tayo ng bahay.	Let us make a house.	do / make
	Bigas	May bigas sa kusina.	There is uncooked rice in the kitchen.	uncooked rice
	Ubo	May ubo siya.	He or she has a cough.	cough
	Sanga	Mahaba ang sanga.	The branch is long.	branch
	Wakas	Ito ang wakas.	This is the end.	end
	Haba	Ang haba ng daan.	The road is long.	length
	Sabaw	Mainit ang sabaw.	The soup is hot.	soup / broth
	Tulay	Mahaba ang tulay.	The bridge is long.	bridge
	Bawang	May bawang sa ulam.	There is garlic in the dish.	garlic
	Tuhod	Masakit ang tuhod ko.	My knee hurts.	knee
	Ref	Malamig ang ref.	The refrigerator is cold.	refrigerator / fridge
	Ako	Ako ang estudyante.	I am the student.	I / me
	Leeg	Nasa leeg ang kuwintas.	The necklace is around the neck.	neck
	Galos	May galos sa tuhod.	There is a scrape on the knee.	scratch / scrape
	Sino	Sino ang guro?	Who is the teacher?	who
	Dalawa	May dalawang pusa.	There are two cats.	two
	Bunga	May bunga ang puno.	The tree has fruit.	fruit / result
	Toyo	May toyo sa plato.	There is soy sauce on the plate.	soy sauce
	Bayabas	Sariwa ang bayabas.	The guava is fresh.	guava
	Gatas	Uminom ako ng gatas.	I drank milk.	milk
	Tingin	Tingin ka dito.	Look here.	look / glance
	Akin	Akin ang libro.	The book is mine.	mine
	Hita	Masakit ang hita ko.	My thigh hurts.	thigh
	Radyo	Nasa mesa ang radyo.	The radio is on the table.	radio
	Pinto	Bukas ang pinto.	The door is open.	door
	Likod	Masakit ang likod ko.	My back hurts.	back / behind
	Telepono	Nasa tabi ng radyo ang telepono.	The telephone is beside the radio.	telephone
	Garahe	Nasa garahe ang kotse.	The car is in the garage.	garage
	Liwanag	May liwanag sa bintana.	There is light at the window.	light / brightness
	Sahig	Malinis ang sahig.	The floor is clean.	floor
	Kahel	Kahel ang kulay ng damit.	The clothes are orange.	orange
	Kaldero	May kanin sa kaldero.	There is rice in the pot.	cooking pot
	Siyam	May siyam na bulaklak.	There are nine flowers.	nine
	Walo	May walong estudyante.	There are eight students.	eight
	Mangkok	May sabaw sa mangkok.	There is soup in the bowl.	bowl
	Braso	Mahaba ang braso niya.	His or her arm is long.	arm
	Kuwento	Maganda ang kuwento.	The story is good.	story
	Larawan	Maganda ang larawan.	The picture is beautiful.	picture / image
	Marami	Maraming libro.	There are many books.	many / much
	Kompyuter	Nasa mesa ang kompyuter.	The computer is on the table.	computer
	Maliit	Maliit ang pusa.	The cat is small.	small
	Marunong	Marunong siyang bumasa.	He or she knows how to read.	knows how / skilled
	Balikat	Masakit ang balikat ko.	My shoulder hurts.	shoulder
	Kutsilyo	Matalas ang kutsilyo.	The knife is sharp.	knife
	Pandikit	May pandikit sa papel.	There is glue on the paper.	glue / adhesive
	Laro	Masaya ang laro.	The game is fun.	game / play
	Ito	Ito ang libro.	This is the book.	this
	Baka	May baka sa parang.	There is a cow in the field.	cow
	Berde	Berde ang dahon.	The leaf is green.	green
	Paaralan	Malapit ang paaralan.	The school is near.	school
	Mukha	Masaya ang mukha niya.	His or her face looks happy.	face
	Pinggan	Malinis ang pinggan.	The plate is clean.	plate / dish
	Tahong	May tahong sa plato.	There are mussels on the plate.	mussel
	Gamot	Mapait ang gamot.	The medicine is bitter.	medicine
	Gabi	Tahimik ang gabi.	The night is quiet.	night
	Siya	Masaya siya.	He or she is happy.	he / she
	Puwede	Puwede akong pumasok?	May I enter?	can / may
	Gumuhit	Gumuhit siya ng pusa.	He or she drew a cat.	drew / draw
	Tren	Mahaba ang tren.	The train is long.	train
	Itim	Itim ang pusa.	The cat is black.	black
	Ugat	Nasa lupa ang ugat.	The root is in the soil.	root
	Tsaa	Mainit ang tsaa.	The tea is hot.	tea
	Aparador	Nasa aparador ang damit.	The clothes are in the cabinet.	cabinet / wardrobe
	Kalahati	Kalahati ng mangga ang kinain ko.	I ate half of the mango.	half
	Damit	Malinis ang damit.	The clothes are clean.	clothes
	Kalye	Mahaba ang kalye.	The street is long.	street
	Baboy	Malaki ang baboy.	The pig is big.	pig
	Buto	Matigas ang buto.	The bone is hard.	bone
	Iyak	Narinig ko ang iyak ng bata.	I heard the child crying.	crying
	Puso	Mabilis ang tibok ng puso.	The heart is beating fast.	heart
	Maaari	Maaari kang umupo.	You may sit.	may / can
	Maliwanag	Maliwanag ang silid.	The room is bright.	bright
	Loob	Nasa loob ng bahay ang bata.	The child is inside the house.	inside
	Bisikleta	Bago ang bisikleta.	The bicycle is new.	bicycle
	Sikreto	Tago ang sikreto.	The secret is hidden.	secret
	Lasa	Matamis ang lasa.	The taste is sweet.	taste / flavor
	Damo	Berde ang damo.	The grass is green.	grass
	Paa	Malinis ang paa ko.	My feet are clean.	foot / feet
	Banig	Nasa sahig ang banig.	The mat is on the floor.	woven mat
	Pito	May pitong araw.	There are seven days.	seven
	Kamatis	Pula ang kamatis.	The tomato is red.	tomato
	Katas	May katas ang mangga.	The mango has juice.	juice / sap
	Lakas	Ang lakas ng tunog!	The sound is loud!	strength / loudness
	Bata	Bata pa siya.	He or she is still young.	child / young
	Taas	Nasa taas ang ibon.	The bird is up high.	up / top / height
	Motorsiklo	Mabilis ang motorsiklo.	The motorcycle is fast.	motorcycle
	Nars	Mabuti ang nars.	The nurse is kind.	nurse
	Hinuli	Hinuli ng pusa ang isda.	The cat caught the fish.	caught
	Kulay-abo	Kulay-abo ang ulap.	The cloud is gray.	gray
	Masaya	Masaya ang bata.	The child is happy.	happy / fun
	Hangin	Malakas ang hangin.	The wind is strong.	wind / air
	Ilalim	Nasa ilalim ng mesa ang pusa.	The cat is under the table.	under / bottom
	Kain	Kain tayo.	Let us eat.	eat
	Pumasok	Pumasok ang guro.	The teacher entered.	entered / went in
	Mabuti	Mabuti ang guro.	The teacher is kind.	good / kind
